"","Made Donation in March 2007"
659,0.466014277975955
276,0.192026981868856
263,0.191043986294796
303,0.414642225721721
83,0.560526678201986
500,0.701443092777007
530,0.278829652272284
244,0.0865494725209358
249,0.0612027783896327
728,0.0704010217228056
129,0.192026981868856
534,0.0888609178054822
317,0.242180968936805
401,0.191043986294796
696,0.35097048785074
192,0.0974663076358131
176,0.226099055462188
571,0.44287909766557
139,0.111347695510257
423,0.296458217016241
563,0.617863625115111
56,0.35097048785074
528,0.397844010048708
101,0.191043986294796
467,0.223377276783504
382,0.264900919951213
466,0.373702808833346
294,0.0865494725209358
512,0.20876623868142
659,0.466014277975955
389,0.409486768004762
487,0.0612027783896327
701,0.199079061766059
419,0.212875334691931
536,0.104917377797779
240,0.226099055462188
508,0.223377276783504
515,0.0865494725209358
283,0.397844010048708
650,0.191043986294796
65,0.492564116915973
228,0.192975592267945
741,0.0612027783896327
297,0.431439761302036
464,0.117852118447879
63,0.199079061766059
231,0.438593668328101
28,0.104917377797779
248,0.0865494725209358
357,0.192975592267945
300,0.351008125893742
726,0.512594672195071
680,0.177218874698133
520,0.35097048785074
254,0.0954998892703949
582,0.148889665955507
143,0.1389303985321
98,0.461428645296884
1,0.311332499783163
221,0.257996917054045
352,0.191043986294796
64,0.104917377797779
138,0.286825260125631
745,0.196772984627254
64,0.104917377797779
688,0.0954998892703949
623,0.0704010217228056
289,0.171737082565252
174,0.397844010048708
690,0.191043986294796
105,0.181006451470376
427,0.177218874698133
48,0.0865494725209358
14,0.191043986294796
657,0.0789798681779815
301,0.0888609178054822
455,0.131150946510054
579,0.212748691494139
722,0.145725526481408
98,0.461428645296884
491,0.0865494725209358
303,0.414642225721721
466,0.373702808833346
65,0.492564116915973
300,0.351008125893742
9,0.0865494725209358
622,0.0974663076358131
323,0.0954998892703949
289,0.171737082565252
568,0.387897255344103
290,0.191043986294796
156,0.0851260887740133
464,0.117852118447879
426,0.143717644974555
306,0.238518074306419
4,0.374632907187131
12,0.397844010048708
187,0.259143120776503
406,0.107451835622864
96,0.278829652272284
509,0.199079061766059
733,0.0888609178054822
548,0.0954998892703949
478,0.181006451470376
501,0.143717644974555
127,0.457629025286606
199,0.267151948213247
299,0.592802024147369
162,0.191043986294796
235,0.166025975014755
23,0.143717644974555
473,0.191043986294796
487,0.0612027783896327
683,0.457629025286606
303,0.414642225721721
309,0.104917377797779
569,0.0865494725209358
34,0.397844010048708
686,0.679750488227805
84,0.209535309839431
733,0.0888609178054822
537,0.457629025286606
181,0.145725526481408
453,0.292105370444395
67,0.490278060137066
161,0.239636526887864
307,0.296458217016241
703,0.192026981868856
181,0.145725526481408
246,0.166025975014755
316,0.373702808833346
278,0.0974663076358131
346,0.208335957309839
545,0.191043986294796
419,0.212875334691931
694,0.278829652272284
622,0.0974663076358131
663,0.0612027783896327
262,0.640107523894145
461,0.131941805058551
373,0.311545961427682
233,0.191043986294796
466,0.373702808833346
207,0.1389303985321
263,0.191043986294796
16,0.0865494725209358
513,0.0954998892703949
449,0.35097048785074
429,0.0704010217228056
701,0.199079061766059
632,0.104917377797779
529,0.63501416378014
245,0.367363039288221
344,0.192975592267945
353,0.177218874698133
241,0.252439783409425
633,0.0865494725209358
624,0.199079061766059
726,0.512594672195071
189,0.0974663076358131
138,0.286825260125631
402,0.0865494725209358
511,0.397844010048708
590,0.46648527961506
334,0.173842092823426
447,0.0949782207576628
119,0.373702808833346
389,0.409486768004762
644,0.191043986294796
423,0.296458217016241
131,0.0865494725209358
405,0.0865494725209358
82,0.191043986294796
643,0.311545961427682
156,0.0851260887740133
617,0.0954998892703949
574,0.438593668328101
272,0.142386872849363
613,0.0789798681779815
545,0.191043986294796
685,0.0865494725209358
570,0.192975592267945
537,0.457629025286606
691,0.0865494725209358
85,0.534344576724535
483,0.166025975014755
455,0.131150946510054
93,0.0974663076358131
744,0.199079061766059
33,0.166025975014755
321,0.549896062456112
523,0.145725526481408
426,0.143717644974555
196,0.104917377797779
301,0.0888609178054822
103,0.0865494725209358
224,0.0954998892703949
454,0.192975592267945
585,0.0954998892703949
154,0.287177987636011
